Day	Total	1	2	3	4	5	6	2P
18/06/2015 13:59	1	0	0	0	0	0	0	1
18/06/2015 14:03	1	0	0	0	0	0	0	1
19/06/2015 13:39	1	0	0	0	0	0	0	1
19/06/2015 14:05	1	0	0	0	0	0	0	1
20/06/2015 14:13	1	0	0	0	0	0	0	1
20/06/2015 15:08	1	0	0	0	0	0	0	1
20/06/2015 17:43	1	0	0	0	0	0	0	1
20/06/2015 21:49	1	0	0	0	0	0	0	1
21/06/2015 10:55	1	0	0	0	0	0	0	1
21/06/2015 11:13	1	0	0	0	0	0	0	1
22/06/2015 10:16	1	0	0	0	0	0	0	1
22/06/2015 11:02	1	0	0	0	0	0	0	1
22/06/2015 14:47	1	0	0	0	0	0	0	1
22/06/2015 15:47	1	0	0	0	0	0	0	1
23/06/2015 10:59	1	0	0	0	0	0	0	1
23/06/2015 11:40	1	0	0	0	0	0	0	1
24/06/2015 07:34	1	0	0	0	0	0	0	1
25/06/2015 15:56	1	0	0	0	0	0	0	1
25/06/2015 16:31	1	0	0	0	0	0	0	1
25/06/2015 20:43	1	0	0	0	0	0	0	1
25/06/2015 21:31	1	0	0	0	0	0	0	1
26/06/2015 15:53	1	0	0	0	0	0	0	1
26/06/2015 16:36	1	0	0	0	0	0	0	1
27/06/2015 07:50	1	0	0	0	0	0	0	1
28/06/2015 09:53	1	0	0	0	0	0	0	1
28/06/2015 16:22	1	0	0	0	0	0	0	1
30/06/2015 12:15	1	0	0	0	0	0	0	1
30/06/2015 13:11	1	0	0	0	0	0	0	1
30/06/2015 14:44	1	0	0	0	0	0	0	1
30/06/2015 15:28	1	0	0	0	0	0	0	1
03/07/2015 16:35	1	0	0	0	0	0	0	1
03/07/2015 17:08	1	0	0	0	0	0	0	1
03/07/2015 17:41	1	0	0	0	0	0	0	1
03/07/2015 18:40	1	0	0	0	0	0	0	1
04/07/2015 17:30	1	0	0	0	0	0	0	1
04/07/2015 18:22	1	0	0	0	0	0	0	1
04/07/2015 18:44	1	0	0	0	0	0	0	1
08/07/2015 12:30	1	0	0	0	0	0	0	1
08/07/2015 15:50	1	0	0	0	0	0	0	1
11/07/2015 14:59	1	0	0	0	0	0	0	1
11/07/2015 15:59	1	0	0	0	0	0	0	1
11/07/2015 19:44	1	0	0	0	0	0	0	1
13/07/2015 19:17	1	0	0	0	0	0	0	1
15/07/2015 12:56	1	0	0	0	0	0	0	1
17/07/2015 17:39	1	0	0	0	0	0	0	1
18/07/2015 11:56	1	0	0	0	0	0	0	1
18/07/2015 12:11	1	0	0	0	0	0	0	1
18/07/2015 15:34	1	0	0	0	0	0	0	1
19/07/2015 17:38	1	0	0	0	0	0	0	1
19/07/2015 18:06	1	0	0	0	0	0	0	1
21/07/2015 09:57	1	0	0	0	0	0	0	1
21/07/2015 10:48	1	0	0	0	0	0	0	1
21/07/2015 15:34	1	0	0	0	0	0	0	1
21/07/2015 16:23	1	0	0	0	0	0	0	1
21/07/2015 16:57	1	0	0	0	0	0	0	1
22/07/2015 15:44	1	0	0	0	0	0	0	1
24/07/2015 13:10	1	0	0	0	0	0	0	1
25/07/2015 15:30	1	0	0	0	0	0	0	1
25/07/2015 16:13	1	0	0	0	0	0	0	1
26/07/2015 07:50	1	0	0	0	0	0	0	1
26/07/2015 17:44	1	0	0	0	0	0	0	1
27/07/2015 08:58	1	0	0	0	0	0	0	1
27/07/2015 09:03	1	0	0	0	0	0	0	1
27/07/2015 10:11	1	0	0	0	0	0	0	1
27/07/2015 11:06	1	0	0	0	0	0	0	1
27/07/2015 12:14	1	0	0	0	0	0	0	1
29/07/2015 16:49	1	0	0	0	0	0	0	1
30/07/2015 14:55	1	0	0	0	0	0	0	1
30/07/2015 15:26	1	0	0	0	0	0	0	1
31/07/2015 11:53	1	0	0	0	0	0	0	1
01/08/2015 08:43	1	0	0	0	0	0	0	1
01/08/2015 15:39	1	0	0	0	0	0	0	1
01/08/2015 16:26	1	0	0	0	0	0	0	1
02/08/2015 16:34	1	0	0	0	0	0	0	1
06/08/2015 11:17	1	0	0	0	0	0	0	1
06/08/2015 12:54	1	0	0	0	0	0	0	1
06/08/2015 13:46	1	0	0	0	0	0	0	1
08/08/2015 15:57	1	0	0	0	0	0	0	1
08/08/2015 16:01	1	0	0	0	0	0	0	1
08/08/2015 16:42	1	0	0	0	0	0	0	1
10/08/2015 17:55	1	0	0	0	0	0	0	1
10/08/2015 18:14	1	0	0	0	0	0	0	1
10/08/2015 19:05	1	0	0	0	0	0	0	1
11/08/2015 10:55	1	0	0	0	0	0	0	1
11/08/2015 11:23	1	0	0	0	0	0	0	1
11/08/2015 12:39	1	0	0	0	0	0	0	1
11/08/2015 14:20	1	0	0	0	0	0	0	1
11/08/2015 15:04	1	0	0	0	0	0	0	1
12/08/2015 09:08	1	0	0	0	0	0	0	1
12/08/2015 10:03	1	0	0	0	0	0	0	1
12/08/2015 12:52	1	0	0	0	0	0	0	1
13/08/2015 10:36	1	0	0	0	0	0	0	1
14/08/2015 18:37	1	0	0	0	0	0	0	1
14/08/2015 19:25	1	0	0	0	0	0	0	1
15/08/2015 06:55	1	0	0	0	0	0	0	1
15/08/2015 07:41	1	0	0	0	0	0	0	1
16/08/2015 16:13	1	0	0	0	0	0	0	1
17/08/2015 08:10	1	0	0	0	0	0	0	1
17/08/2015 18:22	1	0	0	0	0	0	0	1
17/08/2015 19:20	1	0	0	0	0	0	0	1
18/08/2015 07:16	1	0	0	0	0	0	0	1
19/08/2015 19:31	1	0	0	0	0	0	0	1
19/08/2015 20:25	1	0	0	0	0	0	0	1
20/08/2015 18:44	1	0	0	0	0	0	0	1
20/08/2015 19:39	1	0	0	0	0	0	0	1
22/08/2015 17:34	1	0	0	0	0	0	0	1
24/08/2015 16:48	1	0	0	0	0	0	0	1
25/08/2015 17:41	1	0	0	0	0	0	0	1
25/08/2015 18:17	1	0	0	0	0	0	0	1
26/08/2015 07:50	1	0	0	0	0	0	0	1
26/08/2015 08:03	1	0	0	0	0	0	0	1
26/08/2015 14:25	1	0	0	0	0	0	0	1
26/08/2015 15:17	1	0	0	0	0	0	0	1
27/08/2015 11:52	1	0	0	0	0	0	0	1
28/08/2015 13:26	1	0	0	0	0	0	0	1
30/08/2015 11:57	1	0	0	0	0	0	0	1
30/08/2015 12:16	1	0	0	0	0	0	0	1
31/08/2015 17:19	1	0	0	0	0	0	0	1
01/09/2015 15:58	1	0	0	0	0	0	0	1
01/09/2015 16:28	1	0	0	0	0	0	0	1
02/09/2015 18:49	1	0	0	0	0	0	0	1
02/09/2015 19:36	1	0	0	0	0	0	0	1
03/09/2015 17:27	1	0	0	0	0	0	0	1
03/09/2015 18:16	1	0	0	0	0	0	0	1
04/09/2015 14:34	1	0	0	0	0	0	0	1
04/09/2015 15:23	1	0	0	0	0	0	0	1
05/09/2015 15:31	1	0	0	0	0	0	0	1
06/09/2015 14:27	1	0	0	0	0	0	0	1
06/09/2015 14:48	1	0	0	0	0	0	0	1
06/09/2015 15:11	1	0	0	0	0	0	0	1
07/09/2015 16:25	1	0	0	0	0	0	0	1
07/09/2015 17:22	1	0	0	0	0	0	0	1
07/09/2015 19:55	1	0	0	0	0	0	0	1
08/09/2015 18:32	1	0	0	0	0	0	0	1
09/09/2015 18:34	1	0	0	0	0	0	0	1
09/09/2015 18:57	1	0	0	0	0	0	0	1
09/09/2015 19:52	1	0	0	0	0	0	0	1
10/09/2015 11:54	1	0	0	0	0	0	0	1
11/09/2015 18:33	1	0	0	0	0	0	0	1
13/09/2015 07:58	1	0	0	0	0	0	0	1
13/09/2015 08:53	1	0	0	0	0	0	0	1
13/09/2015 09:17	1	0	0	0	0	0	0	1
13/09/2015 10:56	1	0	0	0	0	0	0	1
14/09/2015 19:32	1	0	0	0	0	0	0	1
14/09/2015 20:15	1	0	0	0	0	0	0	1
15/09/2015 17:43	1	0	0	0	0	0	0	1
15/09/2015 18:38	1	0	0	0	0	0	0	1
16/09/2015 13:43	1	0	0	0	0	0	0	1
16/09/2015 14:29	1	0	0	0	0	0	0	1
17/09/2015 17:58	1	0	0	0	0	0	0	1
17/09/2015 18:32	1	0	0	0	0	0	0	1
19/09/2015 08:48	1	0	0	0	0	0	0	1
19/09/2015 09:25	1	0	0	0	0	0	0	1
20/09/2015 11:26	1	0	0	0	0	0	0	1
20/09/2015 14:24	1	0	0	0	0	0	0	1
20/09/2015 15:07	1	0	0	0	0	0	0	1
24/09/2015 17:40	1	0	0	0	0	0	0	1
24/09/2015 18:13	1	0	0	0	0	0	0	1
25/09/2015 13:40	1	0	0	0	0	0	0	1
25/09/2015 14:30	1	0	0	0	0	0	0	1
28/09/2015 10:24	1	0	0	0	0	0	0	1
28/09/2015 11:04	1	0	0	0	0	0	0	1
28/09/2015 11:42	1	0	0	0	0	0	0	1
28/09/2015 12:41	1	0	0	0	0	0	0	1
28/09/2015 12:34	1	0	0	0	0	0	0	1
29/09/2015 17:59	1	0	0	0	0	0	0	1
29/09/2015 18:16	1	0	0	0	0	0	0	1
30/09/2015 08:37	1	0	0	0	0	0	0	1
30/09/2015 12:29	1	0	0	0	0	0	0	1
30/09/2015 13:11	1	0	0	0	0	0	0	1
30/09/2015 18:36	1	0	0	0	0	0	0	1
30/09/2015 19:14	1	0	0	0	0	0	0	1
01/10/2015 07:20	1	0	0	0	0	0	0	1
01/10/2015 08:06	1	0	0	0	0	0	0	1
01/10/2015 17:45	1	0	0	0	0	0	0	1
01/10/2015 18:25	1	0	0	0	0	0	0	1
03/10/2015 09:59	1	0	0	0	0	0	0	1
04/10/2015 14:46	1	0	0	0	0	0	0	1
04/10/2015 15:34	1	0	0	0	0	0	0	1
04/10/2015 16:48	1	0	0	0	0	0	0	1
04/10/2015 17:30	1	0	0	0	0	0	0	1
05/10/2015 21:27	1	0	0	0	0	0	0	1
06/10/2015 07:58	1	0	0	0	0	0	0	1
07/10/2015 17:46	1	0	0	0	0	0	0	1
07/10/2015 18:24	1	0	0	0	0	0	0	1
08/10/2015 17:16	1	0	0	0	0	0	0	1
08/10/2015 18:11	1	0	0	0	0	0	0	1
08/10/2015 19:25	1	0	0	0	0	0	0	1
09/10/2015 10:37	1	0	0	0	0	0	0	1
09/10/2015 11:30	1	0	0	0	0	0	0	1
11/10/2015 11:43	1	0	0	0	0	0	0	1
11/10/2015 12:05	1	0	0	0	0	0	0	1
12/10/2015 12:37	1	0	0	0	0	0	0	1
12/10/2015 13:12	1	0	0	0	0	0	0	1
12/10/2015 13:47	1	0	0	0	0	0	0	1
12/10/2015 19:17	1	0	0	0	0	0	0	1
12/10/2015 20:12	1	0	0	0	0	0	0	1
13/10/2015 15:52	1	0	0	0	0	0	0	1
13/10/2015 15:39	1	0	0	0	0	0	0	1
14/10/2015 15:43	1	0	0	0	0	0	0	1
14/10/2015 17:56	1	0	0	0	0	0	0	1
15/10/2015 12:26	1	0	0	0	0	0	0	1
15/10/2015 12:56	1	0	0	0	0	0	0	1
15/10/2015 13:27	1	0	0	0	0	0	0	1
15/10/2015 16:56	1	0	0	0	0	0	0	1
15/10/2015 17:03	1	0	0	0	0	0	0	1
16/10/2015 10:41	1	0	0	0	0	0	0	1
17/10/2015 12:26	1	0	0	0	0	0	0	1
17/10/2015 13:06	1	0	0	0	0	0	0	1
17/10/2015 19:58	1	0	0	0	0	0	0	1
17/10/2015 20:13	1	0	0	0	0	0	0	1
18/10/2015 12:25	1	0	0	0	0	0	0	1
20/10/2015 14:40	1	0	0	0	0	0	0	1
21/10/2015 07:22	1	0	0	0	0	0	0	1
21/10/2015 11:49	1	0	0	0	0	0	0	1
22/10/2015 12:57	1	0	0	0	0	0	0	1
22/10/2015 13:23	1	0	0	0	0	0	0	1
22/10/2015 17:42	1	0	0	0	0	0	0	1
23/10/2015 11:59	1	0	0	0	0	0	0	1
23/10/2015 13:51	1	0	0	0	0	0	0	1
23/10/2015 14:15	1	0	0	0	0	0	0	1
26/10/2015 19:32	1	0	0	0	0	0	0	1
27/10/2015 14:32	1	0	0	0	0	0	0	1
28/10/2015 12:55	1	0	0	0	0	0	0	1
28/10/2015 13:05	1	0	0	0	0	0	0	1
28/10/2015 13:52	1	0	0	0	0	0	0	1
28/10/2015 14:13	1	0	0	0	0	0	0	1
28/10/2015 14:47	1	0	0	0	0	0	0	1
31/10/2015 11:49	1	0	0	0	0	0	0	1
31/10/2015 12:50	1	0	0	0	0	0	0	1
31/10/2015 13:23	1	0	0	0	0	0	0	1
01/11/2015 11:13	1	0	0	0	0	0	0	1
01/11/2015 12:00	1	0	0	0	0	0	0	1
01/11/2015 14:59	1	0	0	0	0	0	0	1
02/11/2015 15:40	1	0	0	0	0	0	0	1
02/11/2015 16:24	1	0	0	0	0	0	0	1
04/11/2015 12:23	1	0	0	0	0	0	0	1
05/11/2015 08:27	1	0	0	0	0	0	0	1
05/11/2015 09:10	1	0	0	0	0	0	0	1
06/11/2015 13:53	1	0	0	0	0	0	0	1
06/11/2015 14:49	1	0	0	0	0	0	0	1
08/11/2015 16:28	1	0	0	0	0	0	0	1
09/11/2015 15:54	1	0	0	0	0	0	0	1
09/11/2015 16:46	1	0	0	0	0	0	0	1
09/11/2015 17:47	1	0	0	0	0	0	0	1
10/11/2015 16:25	1	0	0	0	0	0	0	1
10/11/2015 16:32	1	0	0	0	0	0	0	1
10/11/2015 17:06	1	0	0	0	0	0	0	1
10/11/2015 17:10	1	0	0	0	0	0	0	1
11/11/2015 12:40	1	0	0	0	0	0	0	1
11/11/2015 13:29	1	0	0	0	0	0	0	1
11/11/2015 18:55	1	0	0	0	0	0	0	1
13/11/2015 13:58	1	0	0	0	0	0	0	1
14/11/2015 15:55	1	0	0	0	0	0	0	1
14/11/2015 16:30	1	0	0	0	0	0	0	1
14/11/2015 16:37	1	0	0	0	0	0	0	1
14/11/2015 17:48	1	0	0	0	0	0	0	1
14/11/2015 18:03	1	0	0	0	0	0	0	1
15/11/2015 12:42	1	0	0	0	0	0	0	1
15/11/2015 13:26	1	0	0	0	0	0	0	1
15/11/2015 18:07	1	0	0	0	0	0	0	1
16/11/2015 07:49	1	0	0	0	0	0	0	1
16/11/2015 08:34	1	0	0	0	0	0	0	1
16/11/2015 09:22	1	0	0	0	0	0	0	1
16/11/2015 22:09	1	0	0	0	0	0	0	1
16/11/2015 23:01	1	0	0	0	0	0	0	1
17/11/2015 08:59	1	0	0	0	0	0	0	1
17/11/2015 09:12	1	0	0	0	0	0	0	1
17/11/2015 17:40	1	0	0	0	0	0	0	1
17/11/2015 18:14	1	0	0	0	0	0	0	1
18/11/2015 10:46	1	0	0	0	0	0	0	1
19/11/2015 10:53	1	0	0	0	0	0	0	1
21/11/2015 16:33	1	0	0	0	0	0	0	1
21/11/2015 17:19	1	0	0	0	0	0	0	1
21/11/2015 17:33	1	0	0	0	0	0	0	1
21/11/2015 18:00	1	0	0	0	0	0	0	1
22/11/2015 15:43	1	0	0	0	0	0	0	1
23/11/2015 20:53	1	0	0	0	0	0	0	1
23/11/2015 21:04	1	0	0	0	0	0	0	1
24/11/2015 21:59	1	0	0	0	0	0	0	1
24/11/2015 22:15	1	0	0	0	0	0	0	1
25/11/2015 09:24	1	0	0	0	0	0	0	1
25/11/2015 10:11	1	0	0	0	0	0	0	1
26/11/2015 07:46	1	0	0	0	0	0	0	1
26/11/2015 08:26	1	0	0	0	0	0	0	1
26/11/2015 17:52	1	0	0	0	0	0	0	1
26/11/2015 18:26	1	0	0	0	0	0	0	1
29/11/2015 09:51	1	0	0	0	0	0	0	1
29/11/2015 19:22	1	0	0	0	0	0	0	1
30/11/2015 13:01	1	0	0	0	0	0	0	1
30/11/2015 15:20	1	0	0	0	0	0	0	1
30/11/2015 16:03	1	0	0	0	0	0	0	1
02/12/2015 17:43	1	0	0	0	0	0	0	1
03/12/2015 09:19	1	0	0	0	0	0	0	1
03/12/2015 09:49	1	0	0	0	0	0	0	1
03/12/2015 10:56	1	0	0	0	0	0	0	1
03/12/2015 11:51	1	0	0	0	0	0	0	1
03/12/2015 11:54	1	0	0	0	0	0	0	1
03/12/2015 12:01	1	0	0	0	0	0	0	1
04/12/2015 11:45	1	0	0	0	0	0	0	1
04/12/2015 12:36	1	0	0	0	0	0	0	1
06/12/2015 11:46	1	0	0	0	0	0	0	1
07/12/2015 21:56	1	0	0	0	0	0	0	1
07/12/2015 22:41	1	0	0	0	0	0	0	1
10/12/2015 18:19	1	0	0	0	0	0	0	1
10/12/2015 20:58	1	0	0	0	0	0	0	1
11/12/2015 14:20	1	0	0	0	0	0	0	1
12/12/2015 13:44	1	0	0	0	0	0	0	1
12/12/2015 14:36	1	0	0	0	0	0	0	1
13/12/2015 11:21	1	0	0	0	0	0	0	1
13/12/2015 12:11	1	0	0	0	0	0	0	1
13/12/2015 15:33	1	0	0	0	0	0	0	1
13/12/2015 16:54	1	0	0	0	0	0	0	1
13/12/2015 17:36	1	0	0	0	0	0	0	1
13/12/2015 17:58	1	0	0	0	0	0	0	1
16/12/2015 11:45	1	0	0	0	0	0	0	1
16/12/2015 12:17	1	0	0	0	0	0	0	1
16/12/2015 18:56	1	0	0	0	0	0	0	1
16/12/2015 19:33	1	0	0	0	0	0	0	1
17/12/2015 10:59	1	0	0	0	0	0	0	1
17/12/2015 11:06	1	0	0	0	0	0	0	1
18/12/2015 17:39	1	0	0	0	0	0	0	1
18/12/2015 18:04	1	0	0	0	0	0	0	1
18/12/2015 20:45	1	0	0	0	0	0	0	1
19/12/2015 10:51	1	0	0	0	0	0	0	1
20/12/2015 11:10	1	0	0	0	0	0	0	1
20/12/2015 12:40	1	0	0	0	0	0	0	1
20/12/2015 13:00	1	0	0	0	0	0	0	1
21/12/2015 06:47	1	0	0	0	0	0	0	1
21/12/2015 07:29	1	0	0	0	0	0	0	1
21/12/2015 11:51	1	0	0	0	0	0	0	1
21/12/2015 12:06	1	0	0	0	0	0	0	1
21/12/2015 12:45	1	0	0	0	0	0	0	1
21/12/2015 13:21	1	0	0	0	0	0	0	1
22/12/2015 13:40	1	0	0	0	0	0	0	1
22/12/2015 14:30	1	0	0	0	0	0	0	1
25/12/2015 13:53	1	0	0	0	0	0	0	1
25/12/2015 13:56	1	0	0	0	0	0	0	1
25/12/2015 14:50	1	0	0	0	0	0	0	1
25/12/2015 16:44	1	0	0	0	0	0	0	1
25/12/2015 17:32	1	0	0	0	0	0	0	1
26/12/2015 12:44	1	0	0	0	0	0	0	1
26/12/2015 13:24	1	0	0	0	0	0	0	1
26/12/2015 22:12	1	0	0	0	0	0	0	1
27/12/2015 08:47	1	0	0	0	0	0	0	1
27/12/2015 09:05	1	0	0	0	0	0	0	1
27/12/2015 17:48	1	0	0	0	0	0	0	1
29/12/2015 14:46	1	0	0	0	0	0	0	1
30/12/2015 13:15	1	0	0	0	0	0	0	1
30/12/2015 14:13	1	0	0	0	0	0	0	1
31/12/2015 18:27	1	0	0	0	0	0	0	1
31/12/2015 19:27	1	0	0	0	0	0	0	1
03/01/2016 17:34	1	0	0	0	0	0	0	1
03/01/2016 18:23	1	0	0	0	0	0	0	1
03/01/2016 19:42	1	0	0	0	0	0	0	1
04/01/2016 16:53	1	0	0	0	0	0	0	1
04/01/2016 17:15	1	0	0	0	0	0	0	1
05/01/2016 15:51	1	0	0	0	0	0	0	1
06/01/2016 08:35	1	0	0	0	0	0	0	1
06/01/2016 09:51	1	0	0	0	0	0	0	1
06/01/2016 10:29	1	0	0	0	0	0	0	1
06/01/2016 11:26	1	0	0	0	0	0	0	1
07/01/2016 13:28	1	0	0	0	0	0	0	1
07/01/2016 13:38	1	0	0	0	0	0	0	1
07/01/2016 14:11	1	0	0	0	0	0	0	1
08/01/2016 10:45	1	0	0	0	0	0	0	1
08/01/2016 11:13	1	0	0	0	0	0	0	1
09/01/2016 11:34	1	0	0	0	0	0	0	1
09/01/2016 11:39	1	0	0	0	0	0	0	1
09/01/2016 12:00	1	0	0	0	0	0	0	1
09/01/2016 13:34	1	0	0	0	0	0	0	1
09/01/2016 14:09	1	0	0	0	0	0	0	1
10/01/2016 07:58	1	0	0	0	0	0	0	1
10/01/2016 08:31	1	0	0	0	0	0	0	1
12/01/2016 20:42	1	0	0	0	0	0	0	1
13/01/2016 08:40	1	0	0	0	0	0	0	1
13/01/2016 15:55	1	0	0	0	0	0	0	1
13/01/2016 19:50	1	0	0	0	0	0	0	1
14/01/2016 06:57	1	0	0	0	0	0	0	1
14/01/2016 07:33	1	0	0	0	0	0	0	1
14/01/2016 10:28	1	0	0	0	0	0	0	1
14/01/2016 11:26	1	0	0	0	0	0	0	1
14/01/2016 18:43	1	0	0	0	0	0	0	1
14/01/2016 19:09	1	0	0	0	0	0	0	1
15/01/2016 10:38	1	0	0	0	0	0	0	1
15/01/2016 19:50	1	0	0	0	0	0	0	1
16/01/2016 21:30	1	0	0	0	0	0	0	1
17/01/2016 16:26	1	0	0	0	0	0	0	1
17/01/2016 17:08	1	0	0	0	0	0	0	1
19/01/2016 09:45	1	0	0	0	0	0	0	1
19/01/2016 10:06	1	0	0	0	0	0	0	1
19/01/2016 10:43	1	0	0	0	0	0	0	1
19/01/2016 16:40	1	0	0	0	0	0	0	1
19/01/2016 17:30	1	0	0	0	0	0	0	1
21/01/2016 12:38	1	0	0	0	0	0	0	1
21/01/2016 13:37	1	0	0	0	0	0	0	1
21/01/2016 20:41	1	0	0	0	0	0	0	1
22/01/2016 19:54	1	0	0	0	0	0	0	1
24/01/2016 09:51	1	0	0	0	0	0	0	1
24/01/2016 10:16	1	0	0	0	0	0	0	1
24/01/2016 11:46	1	0	0	0	0	0	0	1
24/01/2016 12:21	1	0	0	0	0	0	0	1
24/01/2016 22:50	1	0	0	0	0	0	0	1
25/01/2016 07:46	1	0	0	0	0	0	0	1
25/01/2016 16:35	1	0	0	0	0	0	0	1
25/01/2016 18:59	1	0	0	0	0	0	0	1
25/01/2016 19:04	1	0	0	0	0	0	0	1
26/01/2016 13:47	1	0	0	0	0	0	0	1
27/01/2016 18:55	1	0	0	0	0	0	0	1
27/01/2016 19:24	1	0	0	0	0	0	0	1
28/01/2016 10:48	1	0	0	0	0	0	0	1
30/01/2016 13:31	1	0	0	0	0	0	0	1
30/01/2016 14:25	1	0	0	0	0	0	0	1
30/01/2016 15:32	1	0	0	0	0	0	0	1
30/01/2016 16:27	1	0	0	0	0	0	0	1
31/01/2016 14:56	1	0	0	0	0	0	0	1
31/01/2016 15:26	1	0	0	0	0	0	0	1
03/02/2016 17:55	1	0	0	0	0	0	0	1
04/02/2016 17:39	1	0	0	0	0	0	0	1
04/02/2016 18:02	1	0	0	0	0	0	0	1
05/02/2016 08:56	1	0	0	0	0	0	0	1
06/02/2016 09:59	1	0	0	0	0	0	0	1
